country,education_index,happiness_score,rank_happiness,literacy_rate_pct,tertiary_attainment_pct
Afghanistan,0.414,1.364,147.0,,
Albania,0.746,5.411,89.0,,343756.0
Algeria,0.672,5.571,84.0,,
Angola,0.5,,,,234676.0
Antigua and Barbuda,0.665,,,,5101.0
Argentina,0.855,6.397,42.0,,5541310.0
Armenia,0.74,5.494,87.0,,561212.0
Australia,0.924,6.974,11.0,,7011329.0
Austria,0.865,6.81,17.0,,1709681.0
Azerbaijan,0.711,4.875,106.0,,1086985.0
Bahamas,0.74,,,96.0,45095.0
Bahrain,0.769,6.03,59.0,,333448.0
Bangladesh,0.529,3.851,134.0,,7367720.0
Barbados,0.782,,,,28774.0
Belarus,0.838,,,,1950002.0
Belgium,0.902,6.91,14.0,,2521874.0
Belize,0.695,6.711,25.0,,41514.0
Benin,0.478,4.357,121.0,,
Bhutan,0.496,,,,59052.0
Bolivia,,5.868,74.0,,1431681.0
Bosnia and Herzegovina,0.711,6.136,56.0,,350140.0
Botswana,0.676,3.438,142.0,,
Brazil,0.694,6.494,36.0,,29236000.0
Bulgaria,0.779,5.554,85.0,,1560028.0
Burkina Faso,0.312,4.383,120.0,,216000.0
Burundi,0.417,,,,22585.0
Cambodia,0.484,4.341,124.0,,320671.0
Cameroon,0.547,4.887,104.0,,334961.0
Canada,0.894,6.803,18.0,,13762145.0
Cape Verde,0.562,,,,32127.0
Chad,0.288,4.384,119.0,,46165.0
Chile,0.81,6.361,45.0,,5711299.0
China,0.862,5.921,68.0,,162631830.0
Colombia,0.682,6.004,61.0,,6752123.0
Comoros,0.482,3.754,139.0,,55223.0
Congo,0.543,5.03,100.0,,
Costa Rica,0.726,7.274,6.0,,
Croatia,0.805,5.87,72.0,,761832.0
Cuba,0.79,,,,1103992.0
Cyprus,0.827,5.942,67.0,,262317.0
Czech Republic,0.89,6.775,20.0,,1508534.0
DR Congo,,3.469,141.0,,
Denmark,0.92,7.521,2.0,,1516970.0
Djibouti,0.325,,,,66768.0
Dominica,0.632,,,,7421.0
Dominican Republic,0.666,5.846,76.0,,1553934.0
Ecuador,0.702,5.965,62.0,,2251983.0
Egypt,0.618,3.817,135.0,,7439798.0
El Salvador,0.555,6.492,37.0,,524742.0
Equatorial Guinea,0.467,,,,71000.0
Estonia,0.882,6.417,39.0,,306472.0
Ethiopia,0.341,3.898,132.0,,434071.0
Finland,0.927,7.736,1.0,,1615347.0
France,0.817,6.593,33.0,,15889790.0
Gabon,0.65,5.12,97.0,,144000.0
