country,education_index,rank_happiness,happiness_score,gdp_per_capita_log,social_support,healthy_life_exp,freedom_choices,generosity,corruption_perception,literacy_rate_pct,gov_expenditure_edu_pct_gdp,school_enrollment_secondary_pct,school_enrollment_tertiary_pct,tertiary_attainment_pct,gini_coefficient,pisa_score_avg
Afghanistan,0.414,147.0,1.364,0.649,0.0,0.155,0.0,0.075,0.135,,4.34319019317627,59.6136016845703,10.85435962677,,29.4,
Albania,0.746,89.0,5.411,1.371,1.122,0.696,0.841,0.103,0.057,,3.09153008460998,96.1368771236947,64.7293520237257,19.73,29.0,360.0
Algeria,0.672,84.0,5.571,1.315,1.363,0.782,0.522,0.057,0.219,,5.61015717726636,101.264892578125,55.5320185816789,7.6,27.6,
Andorra,0.72,,,,,,,,,,1.89867997169495,99.5086517333984,62.4106937082277,38.2,,
Angola,0.5,,,,,,,,,,2.51273663315785,51.4839046246776,10.04935810264,2.5,51.3,
Antigua and Barbuda,0.665,,,,,,,,,,3.10505161832136,108.880778588808,25.1156271899089,10.56,,
Argentina,0.855,42.0,6.397,1.504,1.622,0.579,0.824,0.048,0.083,,5.00324010848999,105.574584297051,107.822574129434,19.62,42.3,395.0
Armenia,0.74,87.0,5.494,1.391,1.349,0.828,0.786,0.032,0.158,,2.43869996070862,89.4111027634947,56.2770051010456,27.35,27.6,
Aruba,,,,,,,,,,,3.61855755636695,131.802169799805,17.1416206359863,,,
Australia,0.924,11.0,6.974,1.767,1.647,0.841,0.857,0.164,0.285,,5.05915021896362,134.099243164062,104.64835357666,43.35,34.3,497.3
Austria,0.865,17.0,6.81,1.791,1.592,0.814,0.856,0.179,0.28,,5.27749013900757,100.504371643066,91.6818237304688,25.36,30.8,486.0
Azerbaijan,0.711,106.0,4.875,1.428,1.03,0.707,0.785,0.076,0.179,,3.66036009788513,92.7402972401367,41.3907560278377,17.36,26.6,
Bahamas,0.74,,,,,,,,,96.0,2.74191570247934,87.1455240465819,,22.85,,
Bahrain,0.769,59.0,6.03,1.752,1.391,0.609,0.907,0.148,0.167,,1.88778167912993,104.392938701638,57.0562240948353,32.74,,
Bangladesh,0.529,134.0,3.851,1.116,0.286,0.592,0.92,0.11,0.132,,2.16213826344701,65.9856598598849,24.2003442708621,8.53,32.4,
Barbados,0.782,,,,,,,,,,3.7754499912262,102.513702392578,54.2600399378744,15.81,,
Belarus,0.838,,,,,,,,,,4.90902996063232,97.4265999006565,72.8250212584046,28.3,24.4,
Belgium,0.902,14.0,6.91,1.783,1.646,0.852,0.895,0.119,0.306,,6.27611017227173,142.960266113281,82.1475601196289,32.51,27.2,486.3
Belize,0.695,25.0,6.711,1.256,1.54,0.525,1.018,0.072,0.082,,4.23143005371094,83.619553808705,22.3734089825019,14.57,53.1,
Benin,0.478,121.0,4.357,0.855,0.228,0.357,0.679,0.092,0.238,,3.22974322056608,43.5606498718262,10.2350101470947,1.9,37.8,
Bermuda,,,,,,,,,,,1.86510440752276,74.3967514038086,17.3357105255127,,,
Bhutan,0.496,,,,,,,,,,5.84518003463745,86.8564415582911,15.0074996948242,9.02,37.4,
Bolivia,,74.0,5.868,1.173,1.356,0.346,0.817,0.067,0.052,,7.89381980895996,91.3676827044767,,24.18,41.6,
Bosnia and Herzegovina,0.711,56.0,6.136,1.405,1.545,0.616,0.749,0.178,0.009,,3.24564826597779,87.8663787841797,45.5027618408203,13.91,33.0,408.7
Botswana,0.676,142.0,3.438,1.388,1.146,0.094,0.697,0.018,0.083,,8.05833660991541,70.6292572021484,20.5658232475186,,53.3,
Brazil,0.694,36.0,6.494,1.391,1.519,0.48,0.83,0.089,0.127,,5.61920976638794,105.702369689941,61.0000915527344,20.55,52.9,397.3
British Virgin Islands,,,,,,,,,,,3.17283855528435,70.4463994786575,26.6493055555556,23.44,,
Brunei,0.702,,,,,,,,,,4.42539978027344,91.8381544399811,36.4182725443167,18.14,,
Bulgaria,0.779,85.0,5.554,1.573,1.725,0.463,0.708,0.055,0.0,,4.50109004974365,95.6239624023438,79.8532333374023,27.85,39.7,417.7
Burkina Faso,0.312,120.0,4.383,0.724,0.828,0.296,0.671,0.142,0.218,,5.32757840997187,30.8551216331757,10.1078755635882,3.3,35.3,
Burundi,0.417,,,,,,,,,,4.87114173892375,44.9151717353101,6.02545976638794,0.52,38.6,
Cambodia,0.484,124.0,4.341,1.049,1.215,0.481,0.988,0.138,0.078,,2.1809128340295,56.7864734981041,17.4362364390629,4.68,37.9,
